address,mls_number,status,original_price,property_type,commercial_rent,floors,total_sq_ft,bachelor,one_br,two_br,three_br,four_br,unknown,residential_rent,property_taxes,down_payment_pct,interest_rate,term_years,hold_years,expense_ratio,lease_type
"7 Jasper Ave, Smith Falls",X12783768,active,380000,,,2,1750,0,0,0,2,0,0,,2837,,,,,,
"28-34 Market St, Smith Falls",X12270692,inactive,610000,,,2,1319,0,0,0,0,,2,,5324,,,,,,
"18 Market St N, Smith Falls",X12743276,active,475000,,,2,2200,1,1,2,0,0,0,,7310,,,,,,
"34 Market St N, Smith Falls",X12629028,active,580000,,,2,1350,0,0,0,0,0,1,,6133,,,,,,
"4-6 Russell St E, Smiths Falls",X11946453,inactive,1200000,,,2,5000,0,0,4,0,,0,,10021,,,,,,
"2 Mill St, Stirling",X12273267,inactive,340000,,,2,3038,0,0,0,0,,1,,5400,,,,,,
"25 Dundas St W, Trenton",X12244832,inactive,500000,,,1,2500,0,0,0,0,,0,,3400,,,,,,
"45-49 Dundas St W, Trenton",X12058382,inactive,750000,,,2,10700,0,4,0,0,,0,,12373,,,,,,
"50 Dundas St W, Trenton",X12596620,active,3200000,,,3,8602,0,0,0,0,0,0,,21652,,,,,,
"55 Dundas St W, Trenton",X12198011,inactive,1225000,,,1,5739,0,0,0,0,,0,,12297.68,,,,,,
"58-68 Dundas St W, Trenton",X12206816,inactive,3500000,,,2,16709,0,0,0,0,,0,,38946,,,,,,
"65 Dundas St W, Trenton",X12009247,inactive,3000000,,,3,34890,0,0,0,0,,0,,11000,,,,,,
"112 Dundas St W, Trenton",X12356659,inactive,2650000,,,1,8042,0,0,0,0,,0,,13000,,,,,,
"2 King St, Trenton",X12655406 ,inactive,850000,,,2,5752,0,0,0,0,,2,,7705,,,,,,
"1927 Stockdale Road, Trenton",X12145410 ,inactive,430000,,,1,0,0,0,2,0,,0,,2681,,,,,,
"308 Victoria St N, Tweed",X12081797 ,inactive,420000,,,2,2355,0,1,0,1,,0,,2723,,,,,,
"331 Victoria St N, Tweed",X12307903,inactive,300000,,,2,2418,0,1,1,0,,0,,1679.56,,,,,,
"334 Victoria St N, Tweed",X12350795,inactive,250000,,,2,3013,0,0,0,0,,2,,2452.06,,,,,,
"345 Victoria St N, Tweed",X11943522,active,750000,,,2,7000,0,0,1,0,,0,,4502,,,,,,
