address,mls_number,status,original_price,property_type,commercial_rent,floors,total_sq_ft,bachelor,one_br,two_br,three_br,four_br,unknown,residential_rent,property_taxes,down_payment_pct,interest_rate,term_years,hold_years,expense_ratio,lease_type
"50 Front St N, Campbellford",X12029753,inactive,789000,,,2,4000,0,0,1,1,,0,,4288,,,,,,
"739 Principale St, Casselman",X12294206,active,1400000,,,2,5000,0,0,0,0,,1,,11142,,,,,,
"11 Albert St, Chalk River",X12765070,active,820000,,,3,17567,0,0,0,0,0,6,,4432,,,,,,
"28 High Street, Champlain",X12758508,active,750000,,,1,4437,0,0,0,0,0,0,,6215,,,,,,
"1042 King St, Champlain",X12637976,active,500000,,,2,1750,0,1,0,1,0,0,,1732,,,,,,
"41-49 Main St E, Champlain",X9523830,inactive,799000,,,2,0,0,0,0,0,,6,,4242,,,,,,
"68 Main St E, Champlain",X12184604,inactive,750000,,,3,0,0,2,3,0,,0,,7065,,,,,,
"143-145 Main St E, Champlain",X9523455,active,700000,,,2,4156,0,0,0,1,0,3,,5400,,,,,,
"11 Main St W, Champlain",X12449891,active,600000,,,0,0,0,4,1,0,0,0,,4353,,,,,,
"22 Union St, Champlain",X12142668,inactive,625000,,,2,0,0,2,5,0,,0,,6806,,,,,,
"73 King St, Chesterville",X12735054,active,700000,,,2,4250,0,0,0,0,0,10,,6991,,,,,,
"249-255 Division St, Cobourg",X12190185,inactive,1700000,,,2,7800,0,0,0,0,,7,,19459,,,,,,
"41-43 King St E, Cobourg",X12066729,inactive,1745000,,,2,6178,0,0,0,0,,8,,7000,,,,,,
"2-19 King St W, Cobourg",X12431911,active,800000,,,3,4800,0,0,0,0,0,1,,7288,,,,,,
"31-33 King St W, Cobourg",X11983107,inactive,1200000,,,3,4416,0,4,0,0,,0,,5450,,,,,,
"32-34 King St W, Cobourg",X8489498,active,1350000,,,3,6000,0,4,0,0,,0,,8686,,,,,,
"36 King St W, Cobourg",X8415814 ,active,775000,,,3,2000,0,1,1,0,,0,,n/a,,,,,,
"38 King St W, Cobourg",X11190096,inactive,690000,,,3,3800,0,1,1,0,,0,,8198,,,,,,
"39 King St W, Cobourg",X10433227,active,1300000,,,3,4390,0,0,0,0,,3,,8916,,,,,,
"40 King St W, Cobourg",X12172114 ,active,1690000,,,4,8053,0,0,0,0,,0,,13794,,,,,,
"52 King St W, Cobourg",X12043779,inactive,1250000,,,1,7850,0,0,0,0,,0,,29476,,,,,,
"92 King St W, Cobourg",X12595496,active,1630000,,,3,6598,1,1,0,2,0,0,,11250,,,,,,
"144 King St W, Cobourg",X12338042,inactive,2600000,,,1,11900,0,0,0,0,,8,,15934,,,,,,
"33-39 King St E, Colborne",X12151705,inactive,1950000,,,2,10000,0,0,0,0,,9,,16100,,,,,,
"9 First St, Cornwall",X12612404,active,950000,,,2,3250,0,0,0,0,0,5,,3469,,,,,,
"320 Gleeson Ave N, Cornwall",X12340649,inactive,1200000,,,4,,0,1,8,0,,0,,16714,,,,,,
"115 Louis St, Cornwall",X12352073,inactive,185000,,,2,2000,0,0,0,0,0,0,,3043,,,,,,
"101-105 Montreal Road, Cornwall",X12486275,active,425000,,,1,2000,0,2,1,0,0,0,,0,,,,,,
"111 Montreal Road, Cornwall",X12304456,active,325000,,,2,2980,0,2,0,0,,0,,4089,,,,,,
"113-115 Montreal Road, Cornwall",X12304474,active,225000,,,2,1384,0,1,0,0,,0,,2984,,,,,,
"117 Montreal Road, Cornwall",X12360095,inactive,340000,,,2,5043,0,0,0,1,,0,,4695,,,,,,
"155 Montreal Road, Cornwall",X12393058,active,275000,,,2,1800,0,0,1,0,,0,,4922,,,,,,
"166 Montreal Road, Cornwall",X12155828,active,450000,,,2,2500,1,1,1,0,0,0,,3611,,,,,,
"601-603 Montreal Road, Cornwall",X12366895,inactive,290000,,,2,2100,0,0,1,0,,0,,5082,,,,,,
"607-611 Montreal Road, Cornwall",X12368865,inactive,330000,,,2,2640,0,0,0,0,,2,,5694,,,,,,
"105 Pitt St, Cornwall",X12149438,active,1300000,,,2,8200,0,0,4,0,,0,,16800,,,,,,
"109 Pitt St, Cornwall",X12776992,active,800000,,,2,4600,0,0,0,0,0,2,,11261,,,,,,
"116 Pitt St, Cornwall",X12583844,inactive,550000,,,2,2561,0,0,1,0,0,0,,13369,,,,,,
"272 Pitt St, Cornwall",X12794896,active,1550000,,,2,2874,0,0,0,0,0,4,,10901,,,,,,
"25-27 Second St, Cornwall",40743647,inactive,650000,,,2,3000,0,0,0,0,,1,,10512,,,,,,
"292 Bridge St, Eganville",X9520614,inactive,450000,,,2,1360,0,0,1,0,,0,,2979,,,,,,
"40-42 Main St, Finch",X12190262,inactive,490000,,,0,0,0,0,0,2,,0,,2230,,,,,,
"66 King St E, Gananoque",X12478517,active,475000,,,3,3000,0,0,0,0,0,4,,6346,,,,,,
"15 George St W, Havelock",X12615674,inactive,465000,,,2,2921,0,2,1,0,0,0,,1692,,,,,,
"102 Main St E, Hawkesbury",X12314454,active,995000,,,1,10000,0,0,0,0,,0,,33255,,,,,,
"253 Main St E, Hawkesbury",X12139635,inactive,839000,,,3,5900,0,0,0,0,,8,,19938,,,,,,
"126-128 Prescott St, Kemptville",X12277896,active,1100000,,,2,2340,0,0,2,0,,0,,4167,,,,,,
"130-134 Prescott St, Kemptville",X11983213,inactive,900000,,,2,2454,0,0,1,1,,4,,6301,,,,,,
"144 Prescott St, Kemptville",X12197703,inactive,2800000,,,3,7500,0,0,0,0,,1,,6010,,,,,,
"82-94, 155-159 Brock & Wellington St, Kingston",X11993168,inactive,4700000,,,3,18016,0,0,0,0,,11,,81101,,,,,,
"162 Division St, Kingston",X12001479,active,1350000,,,2,4800,0,0,0,0,,0,,29056,,,,,,
"297 Helen St, Kingston",X12575588,active,5300000,,,4,29405,0,0,0,0,0,28,,32330,,,,,,
"160 King St E, Kingston",X12339071,active,1800000,,,3,3000,0,0,0,0,,4,,9558.99,,,,,,
"15 Montreal St, Kingston",X12456901,inactive,1100000,,,2,3750,0,1,3,0,0,0,,16852,,,,,,
"46 Montreal St, Kingston",X12068638,inactive,3000000,,,3,22438,0,0,0,0,,37,,34993,,,,,,
"27-35 Princess St, Kingston",X12153617,inactive,17800000,,,4,69391,0,0,0,0,,0,,519024,,,,,,
"113-117 Princess St, Kingston",X12038638,inactive,2950000,,,2,6769,0,0,0,0,,2,,30622,,,,,,
"207 Princess St, Kingston",X12001540,active,3500000,,,2,14585,0,0,0,0,,0,,113593,,,,,,
